#CODIGO,DESCRICAO,DATA_INICIO,DATA_FIM
"7516","PISCICULTURA (tanque rede)","01/01/2015","31/12/2099"
"7517","PISCICULTURA (tanque escavado)","01/01/2015","31/12/2099"
"7520","RANICULTURA (Cultivo de Rã)","25/06/2013",
"7525","Descamadora de Peixe","01/07/2013",
"7530","Descascador de Camarão e Lagosta","01/07/2013",
"7535","Embarcação Pequena (até 20 A/B)","01/07/2013",
"7540","Embarcação Média (acima de 20 e abaixo de 100 A/B)","01/07/2013",
"7545","Embarcação Grande (a partir de 100 A/B)","01/07/2013",
"7550","Esteira","01/07/2013",
"7555","Estufa","01/07/2013",
"7560","Evisceradora","01/07/2013",
"7565","Frigorífico","01/07/2013",
"7570","Girinos","01/07/2013",
"7575","Mariscos","01/07/2013",
"7580","Matrizes e Reprodutores","01/07/2013",
"7585","Medicamentos, Rações e Insumos","01/07/2013",
"7590","Mesa para Filetagem","01/07/2013",
"7595","Mexilhões","01/07/2013",
"7600","Motobomba","01/07/2013",
"7610","PESCADO IN NATURA","25/06/2013",
"7615","Petrechos para Pesca (anzóis, iscas, cordas, bóias, combustivel, redes, mão-de-obra etc)","01/07/2013",
"7625","Tanques Escavados","01/07/2013",
"7630","Tanques Redes","01/07/2013",
"7635","Unidade de Beneficiamento ou Processamento","01/07/2013",
"7640","ALGICULTURA (Cultivo de Algas)","07/08/2013",
"7645","MALACOCULTURA (Cultivo e Criação de Moluscos)","07/08/2013",
"7650","SEPARADOR DE RESÍDUOS","07/08/2013",
"7655","CLASSIFICADOR DE PESCADO","07/08/2013",
"7660","COZEDOR DE PESCADO","07/08/2013",
"7665","MESA PARA RETIRADA DE PELE, ESCAMA E CARCAÇA DE PESCADO","07/08/2013",
"7670","MESA PARA DESCABEÇAMENTO DE PESCADO","07/08/2013",
"7675","DEPÓSITO PARA RAÇÕES","07/08/2013",
"7680","DESPOLPADOR DE PESCADO","07/08/2013",
"7685","SUINOCULTURA","01/01/2013",
"7690","TENDA, GALPÃO, TÚNEL PLÁSTICO (ABRANGE LONAS, FILMES, LONGARINAS, ESTACAS E MAT. SUSTENTAÇÃO)","01/01/2014",
"7693","Ações de Sutentabilidade Ambiental e Energia Renovável","01/07/2016",
"7694","Implantação de tecnologias de energia renovável, ambiental e pequenas aplicações hidroenergéticas","27/03/2017",
"7695","BIODIGESTOR, ESTERQUEIRA, TANQUES DE OXIDAÇÃO BIOLÓGICA E TRATAMENTO DE ÁGUA E ESGOTO","01/01/2014",
"7700","SANEAMENTO FINANCEIRO","01/01/2013",
"7705","Construção/Recuperação Barragem/Tanque, sistemas captação de água","10/03/2017",
"7706","Perfuração Poço, Cacimba/Cisterna","29/06/2020",
"7710","Terraços, Porteiras, Mata-burros, Currais, Cochos, Cercas","10/03/2017",
"7715","Aquisição de caixas d'água, lonas, toldos, campânulas","10/03/2017",
"7720","Aquisição de Sistemas para Rastreabilidade de bovinos e bubalinos","10/03/2017",
"7730","INSTALAÇÃO/MONTAGEM/TRANSPORTE DE EQUIPAMENTO(S)","21/03/2017",
"7777","Kiri (Paulownia spp)","27/07/2020",
"7890","INVESTIMENTO FIXO","22/10/2020",
"8000","REPASSE INTERFINANCEIRO","01/01/2014",
"8888","CITRONELA (CYMBOPOGON NARDUS)","27/12/2019",
"9000","NÃO SE APLICA","10/03/2017",
"9500","COLHEITA, DESTOCA E LIMPEZA DE FLORESTA PLANTADA","04/03/2022",
"9876","Aquecedor de Água (Boiler)","24/09/2020","31/12/2099"
"9980","RENEGOCIAÇÃO PARCIAL","01/07/2012",
"9990","RENEGOCIAÇÃO TOTAL","01/07/2012",
